where	source	text
action	Cчёт	Factura
action	Активировать	Activar
action	Видеть акции своей группы	Ver campañas del propio grupo
action	Видеть чужие акции	Ver campañas ajenas
action	Восстановить рекламную акцию	Restaurar campaña publicitaria
action	Выбрать акции для оплаты	Seleccionar campañas para pago
action	График размещения	Plan de colocación
action,entity	Группы пользователя	Grupos del usuario
action	Деактивировать	Desactivar
action	Добавить Прайс-Лист	Agregar lista de precios
action	Добавить в группу существующего пользователя	Agregar usuario existente al grupo
action	Добавить модуль	Agregar módulo
action	Добавить модуль в пакет	Agregar módulo al paquete
action	Добавить налог	Agregar impuesto
action	Добавить новые скидки	Agregar nuevos descuentos
action	Добавить остаток	Agregar saldo inicial
action	Добавить предмет рекламы	Agregar rubro publicitario
action	Добавить радиостанцию	Agregar emisora
action	Добавить скидку	Agregar descuento
action	Добавить спонсорскую программу	Agregar programa de patrocinio
action	Добавить тариф	Agregar tarifa
action,code	Добавить тариф массово	Agregar tarifas en lote
action	Договор	Contrato
action	Заменить рекламный ролик	Sustituir spot publicitario
action	Запретить внесение в окна (по шаблону)	Prohibir inclusión en ventanas (por plantilla)
action	Изменить позиционирование	Modificar posicionamiento
action	Изменить похожие тарифы...	Modificar tarifas similares...
action	Изменить предмет рекламы	Modificar rubro publicitario
action,code	Клонировать	Clonar
action	Назначить предмет рекламы	Asignar rubro publicitario
action	Назначить предмет рекламы выпускам спонсорских программ	Asignar rubro publicitario a las emisiones de programas de patrocinio
action	Назначить предмет рекламы или заменить ролик	Asignar rubro publicitario o sustituir spot
action,code	Обновить	Actualizar
action	Объединить рекламную акцию	Unir campaña publicitaria
action	Объединить с предыдущим	Unir con el anterior
action	Объединить со следующим	Unir con el siguiente
action	Открыть журнал акций	Abrir registro de campañas
action	Отметить как удалённую	Marcar como eliminada
action	Отобрать право	Revocar permiso
action	Перейти к балансу для фирмы	Ir al balance de la empresa
action	Перенос дня	Traslado del día
action	Переносы	Traslados
action	Пересчитать	Recalcular
action	Показать акции	Mostrar campañas
action	Показать дни выхода	Mostrar días de emisión
action	Показать дни выхода в эфир	Mostrar días de salida al aire
action	Показать заблокированные окна	Mostrar ventanas bloqueadas
action	Показать модули	Mostrar módulos
action	Показать пакетные модули	Mostrar módulos en paquete
action	Показать пользователей	Mostrar usuarios
action	Показать права группы	Mostrar permisos del grupo
action	Показать программы	Mostrar programas
action	Показать рекламные ролики	Mostrar spots publicitarios
action	Показать ролики	Mostrar spots
action	Показать статистику по роликам	Mostrar estadísticas por spot
action	Показать фирмы	Mostrar empresas
action	Пометить как прочтенное	Marcar como leído
action	Пометить рекламные окна	Marcar ventanas publicitarias
action	Право 'уходить в минус'	Permiso 'quedar en negativo'
action	Предварительный просмотр активации	Vista previa de la activación
action	Продлить окно	Extender ventana
action	Прослушать ролик	Escuchar spot
action	Разделить рекламную акцию	Dividir campaña publicitaria
action	Разделить рекламные кампании	Dividir pautas publicitarias
action	Разрешить внесение в окна (по шаблону)	Permitir inclusión en ventanas (por plantilla)
action	Распечатать	Imprimir
action	Распечатать , по периоду	Imprimir , por período
action	Распечатать график размещения	Imprimir plan de colocación
action	Распечатать договор	Imprimir contrato
action	Распечатать договор на проведение рекламной акции	Imprimir contrato de realización de campaña publicitaria
action	Распечатать по месяцам	Imprimir por meses
action	Распечатать по периоду	Imprimir por período
action	Распечатать спонсорский договор	Imprimir contrato de patrocinio
action	Распечатать спонсорский договор на проведение рекламной акции	Imprimir contrato de patrocinio para la realización de campaña publicitaria
action	Распечатать частичные	Imprimir parciales
action	Распечатать частичные по месяцам	Imprimir parciales por meses
action	Распечатать частичные по периоду	Imprimir parciales por período
action	Распечатать частичный	Imprimir parcial
action	Распечатать частичный по месяцам	Imprimir parcial por meses
action	Распечатать частичный по периоду	Imprimir parcial por período
action	Распечатать эфирную справку	Imprimir certificado de emisión
action	Редактировать	Editar
action	Редактировать акции своей группы	Editar campañas del propio grupo
action	Редактировать в эфир рекламных роликов	Editar salida al aire de spots publicitarios
action	Редактировать выпуски программ для спонсоров	Editar emisiones de programas para patrocinadores
action	Редактировать доступ к пунктам меню	Editar acceso a opciones del menú
action	Редактировать дочерние фирмы	Editar empresas filiales
action	Редактировать коэффициенты	Editar coeficientes
action	Редактировать права для группы	Editar permisos del grupo
action	Редактировать права для пользователя	Editar permisos del usuario
action	Редактировать пункты меню для пользователя	Editar opciones del menú del usuario
action	Редактировать рекламные окна	Editar ventanas publicitarias
action	Редактировать чужие акции	Editar campañas ajenas
action	Свойства	Propiedades
action	Сгенерировать рекламные окна	Generar ventanas publicitarias
action	Сделать вторым	Colocar en segunda posición
action	Сделать первым	Colocar en primera posición
action	Сделать последним	Colocar en última posición
action	Сменить рекламное агентство	Cambiar agencia de publicidad
action	Сменить создателя	Cambiar creador
action	Сменить тип оплаты	Cambiar tipo de pago
action	Сменить фирму-заказчика	Cambiar empresa cliente
action	Снять пометку с  рекламных окон	Desmarcar ventanas publicitarias
action,code	Создать	Crear
action	Создать копию	Crear copia
action	Создать копию прайс-листа	Crear copia de la lista de precios
action	Создать копию прайс-листа на нескольких радиостанциях	Crear copia de la lista de precios en varias emisoras
action	Создать новый объект	Crear nuevo objeto
action,code	Создать новый предмет рекламы	Crear nuevo rubro publicitario
action	Создать пользователя и добавить в группу	Crear usuario y agregar al grupo
action	Счёт-договор	Factura-contrato
action	Убрать порядок	Quitar orden
action,code	Удалить	Eliminar
action	Удалить выпуски пакетного модуля	Eliminar emisiones del módulo en paquete
action	Удалить выпуски пакетных модулей	Eliminar emisiones de los módulos en paquete
action	Удалить выпуски рекламного модуля	Eliminar emisiones del módulo publicitario
action	Удалить выпуски рекламных модулей	Eliminar emisiones de los módulos publicitarios
action	Удалить выпуски спонсорских программ	Eliminar emisiones de los programas de patrocinio
action	Удалить выпуски спонсорской программы	Eliminar emisiones del programa de patrocinio
action	Удалить из группы	Eliminar del grupo
action	Удалить кампанию	Eliminar pauta
action	Удалить объединение с предыдущим	Eliminar unión con el anterior
action	Удалить объединение со следующим	Eliminar unión con el siguiente
action	Удалить окончательно	Eliminar definitivamente
action	Удалить рекламные выпуски	Eliminar emisiones publicitarias
action	Удалить сгенерированные рекламные окна	Eliminar ventanas publicitarias generadas
action,code	Установить фильтр	Aplicar filtro
action	Эфирная справка	Certificado de emisión
caption	1-й ролик (%):	1.er spot (%):
caption	2-й ролик (%):	2.º spot (%):
caption	3D вид	Vista 3D
caption	Cумма платежа:	Monto del pago:
caption	DJin настройки	Configuración DJin
caption	DJin настройки (2)	Configuración DJin (2)
caption	Автор произведения	Autor de la obra
caption	Агенство:	Agencia:
caption	Агенство: 	Agencia: 
caption	Агентства	Agencias
caption	Агентства с которыми работает данная Радиостанция	Agencias con las que trabaja esta emisora
caption	Агентство:	Agencia:
caption	Агентство: 	Agencia: 
caption	Адрес:	Dirección:
caption,column	Активный	Activo
caption,column	Активный объект	Objeto activo
caption,column	Акция	Campaña
caption	Акция изменялась (по): 	Campaña modificada (hasta): 
caption	Акция изменялась (с): 	Campaña modificada (desde): 
caption	Анонс агитации:	Anuncio de propaganda electoral:
caption	Атрибуты	Atributos
caption	БИК:	БИК:
caption	Банк:	Banco:
caption	Безопасность	Seguridad
caption	Блок:	Bloque:
caption	Бонус:	Bonificación:
caption	Будут изменены:	Se modificarán:
caption	Бухгалтер:	Contador:
caption	Варианты замены:	Opciones de sustitución:
caption	Включать макеты	Incluir borradores
caption	Воскресенье	Domingo
caption	Время (начало): 	Hora (inicio): 
caption	Время (окончание): 	Hora (fin): 
caption	Время выхода (минуты):	Hora de emisión (minutos):
caption	Время выхода реальное:	Hora de emisión real:
caption	Время выхода:	Hora de emisión:
caption	Время рекламного выпуска: 	Hora de la emisión publicitaria: 
caption	Всего выпусков:	Total de emisiones:
caption	Вторник	Martes
caption	Второе место в блоке занято	Segunda posición en el bloque ocupada
caption	Выбирать информацию по дате создания рекламных акций	Seleccionar información por fecha de creación de las campañas publicitarias
caption	Выпуски	Emisiones
caption	Выходит без спонсора	Se emite sin patrocinador
caption	Выходов в эфир:	Salidas al aire:
caption,column	Город	Ciudad
caption	Группа компаний:	Grupo de empresas:
caption	Группа компаний: 	Grupo de empresas: 
caption,column	Группа радиостанций	Grupo de emisoras
caption	Группа радиостанций: 	Grupo de emisoras: 
caption	Группа:	Grupo:
caption	Группа: 	Grupo: 
caption	Дата начала интервала: 	Fecha de inicio del intervalo: 
caption,code	Дата начала:	Fecha de inicio:
caption	Дата окончания интервала: 	Fecha de fin del intervalo: 
caption,code	Дата окончания:	Fecha de fin:
caption	Дата оплаты:	Fecha de pago:
caption	Дата предоставления скидки (oкончание интервала): 	Fecha de otorgamiento del descuento (fin del intervalo): 
caption	Дата предоставления скидки (начало интервала): 	Fecha de otorgamiento del descuento (inicio del intervalo): 
caption	Дата принятия:	Fecha de aceptación:
caption	Дата прочтения:	Fecha de lectura:
caption	Дата создания акции (oкончание интервала): 	Fecha de creación de la campaña (fin del intervalo): 
caption	Дата создания акции (начало интервала): 	Fecha de creación de la campaña (inicio del intervalo): 
caption	Дата создания акции (с): 	Fecha de creación de la campaña (desde): 
caption	Дата создания акции(окончание интервала): 	Fecha de creación de la campaña (fin del intervalo): 
caption	Дата создания акции(по): 	Fecha de creación de la campaña (hasta): 
caption	Дата создания:	Fecha de creación:
caption	Дата:	Fecha:
caption	Дата: 	Fecha: 
caption	Делитель:	Divisor:
caption	День рекламного выпуска: 	Día de la emisión publicitaria: 
caption	День рождения:	Fecha de nacimiento:
caption	Джингл (j)	Jingle (j)
caption	Джингл на вход	Jingle de entrada
caption	Джингл на выход	Jingle de salida
caption	Для (пользователь):	Para (usuario):
caption	Для (роль):	Para (rol):
caption	Для всех фирм	Para todas las empresas
caption	Дополнительно	Adicional
caption	Загрузить с диска	Cargar desde disco
caption	Заменить на пустышку	Sustituir por spot vacío
caption	Занято (неподтвержд.):	Ocupado (no confirm.):
caption	Занято (подтвержд.):	Ocupado (confirm.):
caption	Запретить внесение	Prohibir el ingreso
caption	ИНН:	ИНН:
caption	Идентификатор:	Identificador:
caption	Изменение (начало интервала): 	Modificación (inicio del intervalo): 
caption	Изменение (окончание интервала): 	Modificación (fin del intervalo): 
caption	Имя:	Nombre:
caption	Инвертировать цвета	Invertir colores
caption	Интервал: по час (включительно):	Intervalo: hasta la hora (inclusive):
caption	Интервал: с часа:	Intervalo: desde la hora:
caption	Интервалы, напр. пн-пт 16:00-16:55; 18:00-19:00	Intervalos, p. ej. пн-пт 16:00-16:55; 18:00-19:00
caption	Использовать для линейной кампании	Usar para pauta lineal
